staid,station_name,latitude,longitude,elevation,source_file
2510,NETHERLANDS SCHINNEN,50.933055555555555,5.866666666666667,80,indexCDD_002510.txt
2511,NETHERLANDS SCHINVELD,50.98305555555556,5.983055555555556,55,indexCDD_002511.txt
2512,NETHERLANDS SCHOONEBEEK,52.683055555555555,6.9,13,indexCDD_002512.txt
2513,NETHERLANDS SIEBENGEWALD,51.65,6.083055555555555,16,indexCDD_002513.txt
2514,NETHERLANDS SKRINS,53.11666666666667,5.65,0,indexCDD_002514.txt
2515,NETHERLANDS SNEEK,53.033055555555556,5.633055555555556,0,indexCDD_002515.txt
2516,NETHERLANDS SOEST,52.166666666666664,5.316666666666666,4,indexCDD_002516.txt
2517,NETHERLANDS SPAKENBURG,52.25,5.4,0,indexCDD_002517.txt
2518,NETHERLANDS ST ANTHONIS,51.63305555555556,5.883055555555556,15,indexCDD_002518.txt
2519,NETHERLANDS ST KRUIS,51.266666666666666,3.5,1,indexCDD_002519.txt
2521,NETHERLANDS STAVENISSE,51.58305555555556,4.016666666666667,1,indexCDD_002521.txt
2522,NETHERLANDS STEENBERGEN (NB),51.58305555555556,4.333055555555555,1,indexCDD_002522.txt
2523,NETHERLANDS STEENWIJKSMOER,52.666666666666664,6.683055555555556,9,indexCDD_002523.txt
2524,NETHERLANDS STEIN (L),50.96666666666667,5.75,22,indexCDD_002524.txt
2525,NETHERLANDS STRAMPROY,51.183055555555555,5.716666666666667,31,indexCDD_002525.txt
2526,NETHERLANDS STRIJEN,51.766666666666666,4.583055555555555,-1,indexCDD_002526.txt
2527,NETHERLANDS TERNEUZEN,51.3,3.8666666666666667,2,indexCDD_002527.txt
2529,NETHERLANDS TILBURG,51.56666666666667,5.133055555555555,11,indexCDD_002529.txt
2530,NETHERLANDS TUBBERGEN,52.4,6.783055555555555,27,indexCDD_002530.txt
2531,NETHERLANDS UBACHSBERG,50.85,5.916666666666667,175,indexCDD_002531.txt
2532,NETHERLANDS UITHUIZEN,53.4,6.666666666666667,1,indexCDD_002532.txt
2533,NETHERLANDS VAALS,50.783055555555556,6.0,180,indexCDD_002533.txt
2534,NETHERLANDS VAASSEN,52.283055555555556,5.966666666666667,13,indexCDD_002534.txt
2535,NETHERLANDS VEENDAM,53.1,6.833055555555555,2,indexCDD_002535.txt
2536,NETHERLANDS VEENENDAAL,52.033055555555556,5.6,6,indexCDD_002536.txt
2537,NETHERLANDS VEENHUIZEN (D),53.05,6.4,7,indexCDD_002537.txt
2538,NETHERLANDS VENRAY,51.516666666666666,6.0,22,indexCDD_002538.txt
2539,NETHERLANDS VILSTEREN,52.533055555555556,6.35,4,indexCDD_002539.txt
2540,NETHERLANDS VLEUTEN,52.08305555555556,5.0,0,indexCDD_002540.txt
